WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV_PROCESSED,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW,PSOURCE_SUBTYPE_INF,PSOURCE_PPOS_INF,PSOURCE_RSV
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37746,2003,19,37745,2003,19,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200319,200319,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37760,2003,21,37759,2003,21,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200321,200321,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37781,2003,24,37780,2003,24,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200324,200324,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37816,2003,29,37815,2003,29,NOTDEFINED,112,,,0,4,,,9,,,,13,,,,,,0,0,13,,3,,,,,,,,,,,,"Continuing low-level flu A (H3N2) activity in Victoria, Australia using PCR as detection method.",AU,200329,200329,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37851,2003,34,37850,2003,34,NOTDEFINED,284,,,,67,,,41,,,,108,,,,,,,,108,,6,,,,,,,,,,,,Influenza like illness rate per 100 patients seen in sentinel general practice clinics appears to have peaked.  This year has seen influenza activity well above normal seasonal activity.,AU,200334,200334,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37886,2003,39,37885,2003,39,NOTDEFINED,31,,,,4,,,4,,,,8,,,,,,1,1,9,,3,,,,,,,,,,,,,AU,200339,200339,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37921,2003,44,37920,2003,44,NOTDEFINED,18,,,,,,,1,,,,1,,,,,,,,1,,3,,,,,,,,,,,,,AU,200344,200344,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37956,2003,49,37955,2003,49,NOTDEFINED,13,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200349,200349,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37998,2004,3,37997,2004,2,NOTDEFINED,13,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200403,200402,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,38019,2004,6,38018,2004,5,NOTDEFINED,14,,,0,0,,,1,,,,1,,,,,,0,0,1,,3,,,,,,,,,,,,,AU,200406,200405,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,38033,2004,8,38032,2004,7,NOTDEFINED,8,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200408,200407,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,38054,2004,11,38053,2004,10,NOTDEFINED,16,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200411,200410,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,38068,2004,13,38067,2004,12,NOTDEFINED,13,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200413,200412,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,38089,2004,16,38088,2004,15,NOTDEFINED,9,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200416,200415,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,38124,2004,21,38123,2004,20,NOTDEFINED,26,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200421,200420,1,1,1
